iata_code,airport_name,city,country,latitude,longitude
SCP,"Perry, Bowman and Johnson Airport",New Veronicaview,British Indian Ocean Territory (Chagos Archipelago),-2.674984,-28.860446
NWC,"Snyder, Scott and Harding Airport",Debrastad,Antigua and Barbuda,-79.657386,116.542667
ZBK,"Johnson, Golden and Watson Airport",Archerbury,Serbia,1.787501,173.664264
BKO,"Smith, Garcia and Patton Airport",South Haley,Guernsey,-47.005576,-72.321234
RVV,"Brown, Walker and Wong Airport",South Brendaport,Vanuatu,30.500408,-102.352925
OHF,Perry Inc Airport,Pamelaland,Norfolk Island,-29.406100,0.238462
EIP,Mcintosh PLC Airport,West Richardton,Sweden,-12.459738,-115.780886
JDQ,"Fitzpatrick, Wilson and Berg Airport",Murphyview,Turks and Caicos Islands,-54.752528,15.171513
ACK,Clayton Ltd Airport,New Nicole,Ecuador,-76.616474,-11.606933
YSY,"Anderson, Harris and Lindsey Airport",Munozland,Burkina Faso,-6.626010,-38.107682
NSV,"Vasquez, Hill and Adams Airport",Sullivanmouth,Brazil,31.715466,44.904220
VZT,"Wright, Ewing and Koch Airport",East Shelly,Aruba,12.137926,171.565877
AYZ,Rogers-Russell Airport,East Kevinton,Montenegro,21.682648,-84.378144
USQ,Allen Group Airport,Debbieburgh,Slovenia,53.010350,96.658167
RIM,Reese-Baldwin Airport,East Carolineside,Lithuania,-34.694050,-145.984802
YVC,"Burgess, Miller and Peterson Airport",East David,Guernsey,37.676294,-12.435138
TRR,Rosales-Smith Airport,Grantport,Martinique,-23.591540,78.964094
XVM,Juarez-Adams Airport,Davisberg,Ghana,-16.275746,-165.432416
INE,Herrera PLC Airport,Richardview,Norway,-42.475292,93.543588
QWR,Snyder-Lopez Airport,Lake Allisonhaven,Bulgaria,69.580364,-150.287976
ZDK,Lopez-Jones Airport,Parkermouth,Comoros,0.371986,19.659790
GOK,Shields PLC Airport,Carsonshire,Sierra Leone,80.411955,150.614594
THN,Cunningham-Richmond Airport,Vickitown,Samoa,57.567704,28.492674
SAQ,Mathis Ltd Airport,North Andrew,Suriname,75.365818,-76.774931
PPM,Smith and Sons Airport,Lauratown,Costa Rica,28.033153,168.174011
IEP,"Johnston, Rodriguez and Tucker Airport",South Juanmouth,Uganda,58.955210,37.557355
EUM,Joseph LLC Airport,Mitchellberg,Bhutan,-17.125612,12.778749
UZI,Harris and Sons Airport,Ronaldtown,Afghanistan,-11.472457,-51.513610
HRJ,"Hartman, Clark and Grant Airport",New Kennethbury,Swaziland,27.771733,52.757979
WFM,Mccarthy PLC Airport,Toddberg,Pitcairn Islands,-25.455150,-149.768211
SAV,Colon LLC Airport,Bauerstad,Liechtenstein,-83.134676,91.017386
TLJ,Hughes and Sons Airport,Lake Arianahaven,Heard Island and McDonald Islands,-54.839568,74.741276
FGG,Stein-Johnson Airport,Everettport,Barbados,-46.862149,80.364293
XTC,Moreno Ltd Airport,Riverachester,Vietnam,75.027644,33.754279
BYT,Sanchez and Sons Airport,Hollystad,Barbados,18.490910,52.532085
WUS,"Schroeder, Taylor and Miles Airport",Lauraland,Kiribati,-39.516447,-174.766207
ZLQ,Gomez-Ellis Airport,Port Janice,Bermuda,-63.332722,156.162310
IBD,"Weber, Sullivan and Sweeney Airport",Johnview,French Polynesia,-36.247892,-94.412873
DQD,"Schneider, Baker and Hammond Airport",Hutchinsonville,Kyrgyz Republic,-49.689330,103.269322
HQS,Bright and Sons Airport,Ronaldland,Madagascar,-29.564666,66.495559
TOQ,Carr-Aguirre Airport,Orozcoborough,China,-9.181675,40.030471
XKK,"Taylor, Kennedy and Foley Airport",Port Amanda,Congo,-70.507188,-144.515603
BJU,Willis Inc Airport,New Davidborough,Moldova,57.717342,-9.796100
WUV,Thomas PLC Airport,Lake Marytown,United States of America,6.261060,58.424634
BKS,Hanson-Brown Airport,South Daniel,Nepal,-84.559714,136.267466
PMS,"Hall, Pacheco and Arellano Airport",Lake Sarah,Mongolia,29.845932,34.798276
HZG,Oneill PLC Airport,East Megan,Indonesia,-48.670054,-31.347817
ZYB,Soto Ltd Airport,Cohenport,Namibia,12.972484,142.062394
EIY,Collins Group Airport,Perryburgh,Australia,-7.027022,0.680387
PWJ,Meadows-Snyder Airport,Port Pamelahaven,Cocos (Keeling) Islands,25.753532,-119.471215
QUM,Wood-Deleon Airport,Port Susan,Czech Republic,14.622778,28.375793
BGR,Rosales-Lee Airport,Watsonview,Guernsey,81.036446,-66.472977
YSI,"King, Jones and Rogers Airport",Newmanberg,Syrian Arab Republic,15.684698,-145.394402
PKR,Dixon-Parks Airport,South Anna,Malaysia,-60.784666,51.408291
KPF,Shelton-King Airport,South Rebecca,Samoa,-43.379944,-100.788692
HFX,"Green, Gardner and Daniel Airport",New Caitlin,Guernsey,-79.512482,168.055138
GCO,Harris-Obrien Airport,Meyerview,Solomon Islands,-82.338143,-32.664792
ODA,Lynch-Cunningham Airport,Christopherstad,Ghana,-6.641770,172.323840
TCT,"Larson, Lloyd and Jennings Airport",Kaylaberg,United Kingdom,3.493944,57.874723
ALM,Richardson Ltd Airport,South Michael,United States of America,-12.746862,-6.192374
BPG,"Reed, Bush and Allison Airport",West Krista,Montserrat,86.982805,-169.064206
OCB,Walker and Sons Airport,New Kelly,French Guiana,53.664189,56.195561
ITJ,Ellison Group Airport,Lake Kelly,Denmark,-75.981082,44.775834
QPU,"Montgomery, Colon and Adkins Airport",Mcclaintown,Heard Island and McDonald Islands,-40.405121,-73.211076
OFC,Gibson Inc Airport,New Donna,Philippines,44.250724,-42.356655
MCM,Ramos PLC Airport,Anthonytown,Congo,-46.557681,-42.391878
FTK,Daugherty-Harris Airport,Edwinmouth,Guinea,-33.494370,23.624679
NZN,"Murillo, Thomas and Moss Airport",South Ashleyborough,Kuwait,85.595568,11.259581
ODR,Miller Inc Airport,New Dawnland,Andorra,14.485872,69.325839
PWN,Briggs Group Airport,Lisatown,Algeria,77.462886,-40.148495
VQX,Wagner Group Airport,West Kathleen,Taiwan,-30.875926,-54.538345
EXH,Nicholson and Sons Airport,Briannafurt,Greenland,50.921410,161.811864
STG,Choi LLC Airport,Danielton,Marshall Islands,-66.439837,131.166660
KGZ,Young Ltd Airport,Aprilstad,Saint Martin,41.696640,93.828844
ING,"Sexton, Gonzalez and Miles Airport",East Michelle,Montserrat,-66.357182,84.068693
YZN,Todd and Sons Airport,Thompsonside,French Southern Territories,29.056251,82.441948
MLP,Mitchell Inc Airport,Lake Shelbyport,Maldives,-32.425458,-30.221748
YEV,"Daniels, Santana and White Airport",New Michelle,Tuvalu,-61.360355,15.600449
DCT,"Sanchez, Baird and Taylor Airport",Port Adamview,Cyprus,47.500764,16.787553
INY,"Mitchell, Gentry and Sullivan Airport",Williamton,Turkmenistan,-62.712828,-179.990659
SKW,"Moore, Phillips and Nicholson Airport",South Samantha,Ecuador,-10.885414,28.994815
JMW,Clark-Long Airport,New Stephanie,Timor-Leste,-33.587120,-15.259068
BIW,"Wolf, Dixon and Roberts Airport",North Teresa,Germany,53.255958,-140.990543
CLE,"Dyer, Smith and Page Airport",North Anthonyland,Greece,18.527704,102.312729
JXF,Barnes LLC Airport,Johnland,Eritrea,84.305416,82.666393
DDI,"Bennett, Wang and Lewis Airport",South Sharonhaven,India,-61.116176,177.673061
AIL,Richardson-Nunez Airport,Pamelabury,Brazil,80.951244,-73.133765
VDE,Johnson and Sons Airport,Mcdonaldmouth,Svalbard & Jan Mayen Islands,54.201120,167.078137
QNF,Love LLC Airport,Karenmouth,Guinea-Bissau,39.026564,-90.875206
ODD,Solomon PLC Airport,Jonathanville,Cocos (Keeling) Islands,-84.776176,-173.279313
ESB,Day Ltd Airport,Michelleville,Nigeria,87.807681,109.877682
VGQ,Frost-Brown Airport,South Jaimemouth,Netherlands Antilles,3.530392,-137.921555
SHV,Hughes-Black Airport,Jamesville,Timor-Leste,-47.896300,-83.519700
FHO,Christensen Ltd Airport,Port Susanberg,Anguilla,38.629130,-105.560919
ZEI,"Hansen, Barnes and Lewis Airport",Hannahstad,Guinea,19.997888,-132.321796
THA,Gates PLC Airport,South Lisabury,Micronesia,-37.128718,-117.611700
SYL,Johnson PLC Airport,North Raymondhaven,Liberia,48.146891,16.406723
STY,"Smith, Gould and Franklin Airport",Lake Colinside,Barbados,-17.336570,33.730707
JWE,"Newton, Lane and Turner Airport",North Kristenmouth,Fiji,5.659295,-35.720979
BGA,Singleton-Williams Airport,Andersonport,Uruguay,69.409449,24.459363
YYC,Sanders LLC Airport,Port Amy,Afghanistan,-30.384688,-116.488240
TIV,Mccoy Inc Airport,New Michael,Azerbaijan,69.205264,35.463292
LJR,Bryant-Mcknight Airport,Jamesland,Turkmenistan,-10.881290,-0.263847
YAQ,Miller-Wagner Airport,South Donald,Angola,-15.369658,95.734151
UAC,"Weeks, Smith and Brown Airport",Mcdanielmouth,Mauritius,-57.474869,-55.484854
NHO,Underwood PLC Airport,Johnfurt,Myanmar,1.044674,-170.664400
ESV,"Munoz, Parsons and Chavez Airport",Lake Patriciamouth,Mauritius,-4.016620,-91.108248
PKC,Anderson-Kennedy Airport,Ashleyside,Kyrgyz Republic,-31.849859,82.158331
HNU,Hamilton Group Airport,Port Christopher,Burundi,-77.192554,-68.657452
GVI,"Medina, Sawyer and Brown Airport",Kingland,Nauru,80.104483,-145.018391
JCF,"Welch, Salazar and Smith Airport",Jacquelineport,United Kingdom,-46.157347,-116.571328
UXP,Myers-Sharp Airport,Michaelborough,Macao,-20.914416,-108.151506
ZDJ,Randall-Smith Airport,Victorialand,Timor-Leste,1.643224,-162.424809
GEO,"Martinez, Hoffman and Gutierrez Airport",Lake Christinahaven,Uruguay,-59.899515,97.306338
DET,Rios-Riley Airport,Port Jordan,Switzerland,-86.351962,169.698203
EEL,King-Bowman Airport,Kellyborough,Madagascar,54.908998,81.613535
FOT,"Johnson, Espinoza and Pena Airport",East John,Micronesia,-76.725976,78.257920
YYC,Cooke and Sons Airport,West Carlosport,Korea,-47.902296,-109.149241
BSC,"Walsh, Ellis and Hess Airport",South Edward,Estonia,43.058852,94.461930
UQB,"Tran, Davies and Sanchez Airport",Port Matthewfort,Albania,-70.822816,3.949480
XKL,Thompson Ltd Airport,East Jamesstad,Kyrgyz Republic,-11.508444,-84.153832
MAF,Wilson PLC Airport,Davisport,Chad,-47.444438,90.210919
IQC,"Jackson, Williams and Clark Airport",West Douglas,Austria,-20.774395,-76.051211
XMD,"Simon, Black and Adkins Airport",New Cesar,Aruba,-3.912634,65.232807
ECM,Martin-Rodriguez Airport,West Tiffany,Belgium,55.223870,19.555209
PTT,"Gray, Shaffer and Ford Airport",Castillostad,Saint Pierre and Miquelon,31.417070,93.911784
RPE,Barnett-Castaneda Airport,Thomasside,Solomon Islands,-53.251278,74.464046
WBY,"Beltran, Jones and Williams Airport",Knightmouth,Kyrgyz Republic,-57.070772,116.556527
LKQ,"Young, Cline and Velasquez Airport",North Austinborough,Iceland,-54.885237,169.354454
MYX,Matthews-Parks Airport,West Taylorton,Zimbabwe,86.147344,68.184675
SSH,James-Krueger Airport,New Denise,Lebanon,10.677338,16.833056
LEQ,"Castillo, James and Peterson Airport",New Aaron,Uruguay,35.381732,67.991713
CHF,Cox and Sons Airport,Sawyerborough,Malta,32.208934,-66.058564
EIQ,"Bates, Johnson and Murray Airport",Warrenhaven,Suriname,-57.351218,-152.071282
OYY,Steele Ltd Airport,North Justinland,Nauru,-7.662243,-123.288735
PHX,"Johnson, Velazquez and Thomas Airport",Andersenfort,Micronesia,-36.224376,53.464151
RGZ,Houston-Reid Airport,Emilyshire,Bosnia and Herzegovina,12.263100,-84.342629
WMF,Ortiz Group Airport,North Anthony,Venezuela,-49.102032,-85.685941
GCE,Archer-Kennedy Airport,West Jeffreytown,France,-25.949606,-84.458177
LYK,"Davenport, Choi and Shaffer Airport",Kevinville,Montserrat,76.672295,9.838781
AXX,Adams Ltd Airport,East Robert,Cambodia,18.743938,149.100881
YSP,"Morgan, Martinez and Li Airport",Maloneshire,Turkey,-77.789838,134.046173
LQZ,Mcintyre LLC Airport,North Jacksonview,Madagascar,-8.419282,78.856528
PWT,"Sanchez, Rodriguez and Ryan Airport",Boydfort,Iceland,31.001945,65.289185
TRI,Snyder-Garza Airport,Danielleshire,Ukraine,31.711422,41.468762
FKP,Williams PLC Airport,Smithfort,Northern Mariana Islands,36.186842,-1.172151
SLP,Smith-Bentley Airport,Smithborough,Djibouti,31.706836,-82.381145
ODC,"Bush, Thompson and Smith Airport",Rhondaburgh,Russian Federation,-26.047031,-178.320712
SKF,"Young, Parker and Brooks Airport",West Angelaside,Georgia,-21.298636,-63.348293
UYG,"Smith, Castro and Washington Airport",Richardsport,French Guiana,63.619667,177.834896
UGW,Webb PLC Airport,South Julieside,Georgia,-67.026801,-135.615356
EZF,Robertson-Cook Airport,Webermouth,Cook Islands,-29.130850,-50.808744
QIY,Harris Group Airport,East Theresaville,Holy See (Vatican City State),20.987950,34.753797
RLD,Becker-Hays Airport,Cynthiaview,Moldova,24.918732,7.065929
OCH,Morris-Turner Airport,Masonshire,United Kingdom,65.118128,139.609904
KMT,Williams and Sons Airport,Richardport,Iceland,-45.045121,179.909398
EAO,Camacho Group Airport,North Jefferytown,Guatemala,-24.301429,157.127495
XTX,"Williams, Clark and Graham Airport",West Robin,Comoros,-85.048750,22.873169
CWT,Patterson-Gibson Airport,South Mary,Nicaragua,57.129647,-126.093642
XHV,Garcia-Hernandez Airport,Jeffreytown,Botswana,78.615781,-110.823418
OHH,Watts-Jones Airport,New Joshua,Timor-Leste,-74.579710,171.590664
DYO,"Hines, Brown and Castillo Airport",West Christophermouth,Singapore,-46.897122,155.142228
SUZ,Perkins-Bowers Airport,South Carlshire,South Georgia and the South Sandwich Islands,32.391120,57.878571
AEL,Brown-Preston Airport,Port Fredville,Niue,39.462453,95.766449
JSF,Thompson-Gutierrez Airport,North Kathy,Montserrat,-9.344840,-111.511750
BPD,Johnson-Bean Airport,Kerryfurt,Turks and Caicos Islands,-55.919870,-45.575800
RZK,Rowe-Le Airport,Lake Teresafurt,Afghanistan,-45.138630,-167.260769
KAI,Gallagher PLC Airport,West Edwardfort,Grenada,48.799140,136.845769
PWY,"Bishop, Garcia and Sanford Airport",Robertfurt,Micronesia,-88.238479,-147.797326
ANN,Ramos Ltd Airport,Jessefort,Uganda,56.726692,128.933154
JRN,Wilcox-Brown Airport,Port Melissaburgh,Saint Kitts and Nevis,11.449222,126.539065
LXY,Bush PLC Airport,Rogerland,Antarctica (the territory South of 60 deg S),-47.118986,-0.339385
NBE,Gonzalez PLC Airport,Rebeccachester,Georgia,-85.531056,85.433519
RMA,Wright-Boone Airport,Port Robert,Saint Barthelemy,47.777926,-139.114334
NPE,Shields-Phillips Airport,Dariuston,Tonga,-26.683636,56.995682
MVE,Foster Ltd Airport,Ellismouth,Swaziland,45.987984,-165.179693
YDS,Davis-Collins Airport,Port Christophermouth,Iceland,51.351052,-168.586144
UJJ,Williams-Rowland Airport,Port Susanport,Armenia,3.066810,-89.475488
NFV,Reed Group Airport,North Kevinville,Pakistan,-65.024420,105.905977
TLO,Castillo Ltd Airport,West Brittany,Greece,54.916444,-38.330966
JBX,Delgado Group Airport,Port Heather,Palau,-72.823290,41.635508
WXD,James-Salinas Airport,Katherinetown,Cocos (Keeling) Islands,-54.127618,122.980016
DJV,Velasquez and Sons Airport,East David,Dominica,7.176992,-59.372493
LWA,Jackson-Miles Airport,New Angela,Bosnia and Herzegovina,15.644706,-156.397216
WGJ,"Smith, Brown and Larson Airport",Nathanielville,Ghana,-42.038960,-57.006036
PRF,Brown-Griffin Airport,South Daniel,Uganda,-81.787463,142.019152
GYJ,Duffy-Lopez Airport,Port Anthony,Reunion,-23.869816,-59.471414
EUY,Davis-Sandoval Airport,Reginafort,Nicaragua,-18.747498,5.757642
NYM,Coleman-Solomon Airport,Lake Kellyshire,Turkey,9.491134,-136.705771
NZK,Morton-Smith Airport,Port Christophertown,Japan,3.967014,-153.486502
RDD,Ramsey PLC Airport,Lake Patriciaton,Cote d'Ivoire,-55.909656,67.294688
LUA,Ward and Sons Airport,Tinaton,Nepal,85.580518,32.537928
WXM,"Crawford, Patterson and Taylor Airport",Franciscoburgh,Greece,7.867865,138.866901
TOP,Wilson-Beard Airport,Smithmouth,Ghana,70.705456,-26.073760
SYA,Davidson PLC Airport,Johnsonhaven,Costa Rica,58.785247,-16.885716
AEI,Johnson-Munoz Airport,New Kristopher,Yemen,-78.995292,-160.654158
GNP,"Bartlett, Smith and Sanchez Airport",Lake Andrew,Guernsey,31.495366,-79.473714
KLG,Jones-Mitchell Airport,Curtisfort,Greece,-74.763910,67.233699
CCL,Carter Ltd Airport,Brooksport,Panama,-6.526997,132.512619
QLR,"Kidd, Chambers and Delgado Airport",Lake Amandaland,Iceland,-78.234171,-98.768390
CWZ,"Shaw, Butler and Hall Airport",West Sabrina,Myanmar,60.584703,23.720290
LJL,Turner LLC Airport,Hammondberg,Syrian Arab Republic,70.639604,118.779485
HJE,Copeland-Cowan Airport,Nancyfort,Oman,-54.704933,-175.492301
BKG,Shields LLC Airport,Annview,Rwanda,62.542873,12.510475
YDB,"Peck, Herrera and Erickson Airport",Jenkinsview,Timor-Leste,-6.263206,-160.830576
POU,Nolan Ltd Airport,Christinaport,Heard Island and McDonald Islands,61.392044,-147.926696
CUI,"Kelly, Alvarez and Rodriguez Airport",Nancytown,Algeria,-88.713785,-110.120209
PGU,Morrison Ltd Airport,Port John,Finland,-62.377772,-71.622784
SZJ,Evans-Henderson Airport,West Gary,Niger,15.831052,115.821652
CGB,"Owens, Reid and Gonzalez Airport",South Christopherburgh,Western Sahara,-22.121770,142.342597
CNY,Johnson PLC Airport,South Kenneth,Senegal,-60.609168,-72.879568
HAI,Clark-Mason Airport,South Victorialand,Trinidad and Tobago,67.986456,31.785450
AKY,Hartman and Sons Airport,Lake Lauren,Mayotte,-15.698980,134.680405
RIO,"Morgan, Hamilton and White Airport",Danielborough,Singapore,-14.207732,-11.391000
UED,Ross LLC Airport,New Jeffrey,Kuwait,53.904302,-41.183832
PCZ,Palmer-Williams Airport,Krystaltown,Honduras,-52.118396,176.570071
TBS,Nixon-Ward Airport,New Tyrone,Afghanistan,-68.291574,154.821940
BZD,Hurley and Sons Airport,East Maria,Lao People's Democratic Republic,-73.966628,-53.658845
GGG,Bush-Hudson Airport,Randallhaven,Pitcairn Islands,11.899190,99.218858
MPG,"Bridges, Rodriguez and Richards Airport",West Eric,Monaco,25.949902,-92.833550
QWA,Thornton-Bush Airport,Leville,Mauritius,66.591210,-104.327588
GBS,"Velasquez, Peterson and Cruz Airport",South Wayne,Philippines,30.294135,37.079836
XAU,Hubbard-West Airport,Port Tomfurt,Cayman Islands,6.678141,-91.637241
LMX,Garrett and Sons Airport,North Luis,Comoros,71.021430,-155.585233
FKZ,"Hernandez, Miller and Harris Airport",Jessicatown,Mongolia,-51.301044,-117.079166
IGU,"Solomon, Brandt and Rodriguez Airport",Lake Rachael,Netherlands Antilles,-60.156451,-49.464381
NKV,"Green, Smith and Ho Airport",Evansfurt,United Arab Emirates,3.482590,-136.959208
SGG,Higgins-Bell Airport,Port Kathryn,Malaysia,65.201700,13.141085
TGT,Mathis Group Airport,New Sophiahaven,Andorra,-26.296550,90.186533
XBH,Craig-White Airport,Elijahborough,New Caledonia,-29.304428,27.981331
NJS,Jones-Davis Airport,Andrewburgh,Sao Tome and Principe,15.603045,90.055785
FHV,Rogers Inc Airport,Thomasland,Palestinian Territory,26.124496,55.204167
DKB,"Koch, Thompson and Bailey Airport",Port Roy,Guadeloupe,-24.028928,111.709070
IWI,Reeves-Patel Airport,Caitlinbury,Liberia,-85.077566,132.383821
IIH,Parrish-Johnson Airport,Tracieland,Tuvalu,-89.905798,49.175812
AZD,Hill Group Airport,Kimstad,Faroe Islands,55.166759,54.221975
FQT,"Wilson, Morales and Martinez Airport",Port Bobbyberg,Netherlands,71.730147,-78.500528
UNA,Hamilton Group Airport,Karenfurt,Georgia,35.916006,153.024470
BWA,Phillips-Smith Airport,New Bryanhaven,Croatia,-47.098044,-169.215139
CFW,Baxter-Kelly Airport,Curryhaven,Honduras,-83.809394,90.523551
YGA,"Alvarado, Anderson and Schultz Airport",New Stevenland,Rwanda,83.668784,-151.193370
QTL,Bartlett Group Airport,East Carolinebury,United States Minor Outlying Islands,-58.917892,129.855184
MEV,Brewer-Galloway Airport,Kellyville,Dominica,62.094365,-127.593128
EAU,Gross Inc Airport,New John,Luxembourg,0.550703,59.058254
WUK,Hill PLC Airport,North Matthewshire,Estonia,47.373620,125.057006
BRJ,Sheppard LLC Airport,Danielleton,Czech Republic,-84.981383,62.461832
NPG,Miller-Delgado Airport,Dianeton,Bahrain,50.508696,75.202122
RII,"Hernandez, Haynes and Lee Airport",Josephfort,Niue,60.440733,-79.990207
CKW,"Crawford, Snyder and Wright Airport",Port Joseph,Nepal,-42.801360,-73.244310
YCQ,Bruce-Chambers Airport,South Emilyport,Cambodia,84.224355,70.475983
ECX,Henderson Group Airport,Port Michael,Senegal,52.840861,-29.425720
HRV,"Schultz, Long and Mccall Airport",New Brandon,Antarctica (the territory South of 60 deg S),-11.908052,-138.631319
GGC,Arellano Group Airport,Rachelland,Romania,68.215318,-20.788821
JPZ,Harris-Perry Airport,East Erica,Iran,67.691636,-16.534521
CDN,Jackson-Mills Airport,Johnstad,Iran,88.696602,-136.008499
ZZJ,Roberts LLC Airport,North Davidmouth,United States Minor Outlying Islands,34.857129,79.122913
JHY,"Cook, Thomas and Castillo Airport",New Raymondborough,Belgium,5.534689,17.009898
YVS,Garcia Group Airport,West John,Botswana,39.766796,-119.980408
EVL,"Alvarez, Rogers and Gardner Airport",East Alec,Jordan,-69.190278,90.914782
WGW,"Moore, Stone and Mcintyre Airport",North Alexis,Kazakhstan,-26.698488,-158.069038
GLX,Perez Ltd Airport,Lake Carolynchester,Jamaica,-78.566697,155.438974
SJK,Baker-Marshall Airport,North Dawn,Reunion,-68.439421,-103.284498
YJM,Palmer-Peterson Airport,Lake Cheryl,Seychelles,-76.005870,-115.754907
SRN,Thompson Ltd Airport,New Evanburgh,Saint Helena,-7.566997,-175.813360
RTA,Shaw-Gould Airport,East Tarafort,Iran,-49.982380,-164.363942
ROJ,"Clark, Mccoy and Pearson Airport",Port Robert,Bahamas,67.328277,137.935076
GUU,Esparza LLC Airport,East Dean,Sudan,-39.631941,11.086106
JDT,Rodgers-Brown Airport,South Davidland,Azerbaijan,14.543830,167.665942
WUU,Osborne-Hampton Airport,Williamsberg,Monaco,57.730088,-33.019584
WTC,"Rojas, Clark and Harris Airport",Norrisberg,Turkmenistan,61.736686,54.029479
LIW,Henry-Ayala Airport,Peterville,Belarus,-79.977839,-164.852984
IHZ,Morgan-Miller Airport,Jacobside,Andorra,14.022068,30.322438
JMN,"Keller, Williams and Sanchez Airport",Harthaven,Egypt,-65.972759,154.325319
IKY,Mullins PLC Airport,West Susan,Germany,22.440989,94.864572
ZRN,"Gates, Jones and Collins Airport",Mariahport,Israel,-29.993103,9.029205
EHW,Rodriguez-Palmer Airport,Samuelshire,Andorra,-21.293150,136.719389
JRU,Lawson Ltd Airport,East Patrick,Korea,57.439436,54.118951
LRB,"Lang, Huerta and Allen Airport",Donnachester,Myanmar,69.009988,3.616422
FGO,"Christensen, Gates and Abbott Airport",Tanyahaven,San Marino,14.035827,121.394906
VSP,York-Henderson Airport,Trevinostad,Bulgaria,34.756814,-29.008612
KMW,"Freeman, Scott and Erickson Airport",Jamesberg,Mauritania,-48.846560,-173.745248
YVC,Dunn Inc Airport,Coreyshire,French Guiana,19.613455,-51.022268
CXG,"Harrington, Reed and Benson Airport",South Christopherstad,United States Minor Outlying Islands,45.229088,63.458019
JAT,Weaver-Barrett Airport,Tinaport,Mali,-12.093869,-105.444759
PEE,"Garza, Mccormick and Davis Airport",Melissaland,Antarctica (the territory South of 60 deg S),-55.520500,-111.324709
UGM,"Salazar, Bates and Mccormick Airport",Brandonbury,Kiribati,6.408598,-86.562064
IHD,Hoffman LLC Airport,West Jared,Uganda,55.827386,-93.682507
BHX,"Rhodes, Colon and Stuart Airport",East Derek,New Caledonia,-50.285260,9.980272
RPM,Lloyd-White Airport,East Jenniferhaven,Guam,14.692869,48.957654
ZIE,Choi-Hopkins Airport,Housestad,Holy See (Vatican City State),75.769282,153.555102
AAS,Glass-Clark Airport,Smithville,Guam,80.256422,75.830190
QMW,"Adams, Harris and Hancock Airport",Lake Christophershire,Thailand,-39.001191,-64.563100
UQQ,"Juarez, Thomas and Russo Airport",Lake Judy,Algeria,-1.163896,-72.604398
EPY,Smith and Sons Airport,East Jeffrey,Bhutan,37.016672,-45.521409
JWA,Wilson-Ellis Airport,Traceyside,Hong Kong,-44.080476,142.742441
GPQ,"Hurst, Rodriguez and Benson Airport",East Dianaside,Nigeria,-17.749682,-87.599208
EDG,"Thomas, Perry and Bell Airport",New Todd,Guinea,-13.724838,106.890493
JEZ,Tate PLC Airport,East Justin,Belarus,28.853206,-76.049881
MGA,"Hall, Manning and Fuentes Airport",Torresview,Cyprus,50.599862,-116.217903
OVH,Charles-Gonzalez Airport,North Kimberly,Estonia,-62.845938,167.781703
DOY,Carter-Morales Airport,Bryanmouth,Honduras,30.161120,25.860846
EHN,"Ellis, Vega and Atkinson Airport",Whiteberg,Solomon Islands,-29.311407,131.353367
WGM,Williams Ltd Airport,East Stevenborough,Israel,24.022264,165.476366
TXK,Sanchez-Hoffman Airport,Lake Matthewport,Saint Pierre and Miquelon,-64.358562,-17.333407
FJJ,"Miller, Knight and Hart Airport",East Judith,Cote d'Ivoire,80.531756,99.743968
HOY,Collins-Farrell Airport,South Nancybury,Malta,64.723147,-125.190259
MNY,Beck-Rodriguez Airport,Seanchester,Taiwan,32.090939,66.968033
EYA,Larsen-Henson Airport,North Johnview,Sudan,-13.054348,-67.655107
OCE,"Hicks, Harding and Powers Airport",Hooverville,Azerbaijan,84.487832,96.162767
ITI,Rice-Wade Airport,North Bryan,South Georgia and the South Sandwich Islands,24.799332,-106.524447
IUM,"Chavez, May and Mcdonald Airport",North Heatherstad,Belarus,56.500529,32.345773
INF,"Buchanan, Coleman and Horn Airport",East Leonardland,Botswana,26.113238,-137.276118
SXL,Williams Inc Airport,Colemanville,Burkina Faso,49.266478,-23.185273
XSW,Le-Graham Airport,North Charlesview,India,15.711422,119.908778
AVA,Mason-Williams Airport,New Thomas,Saint Pierre and Miquelon,11.618379,-146.118369
PXW,Fields Group Airport,Evanston,Bermuda,-12.448960,-123.504275
ICR,Nichols-Simmons Airport,West Thomas,Mauritania,-39.750784,25.032638
QNG,Martinez-Davis Airport,East Matthewberg,Liechtenstein,74.586188,79.403628
LJB,"Harris, Miller and Murphy Airport",Ashleymouth,Egypt,-63.140140,76.204260
HJA,Hall-Phillips Airport,Jordanhaven,Iran,-80.365493,148.411940
USG,Johnson LLC Airport,Patriciabury,Christmas Island,-64.803312,-1.018410
OGE,Taylor Group Airport,New Caitlin,San Marino,-54.668054,-76.622445
YBS,"Murray, Brooks and Porter Airport",Sharonberg,Tonga,3.240982,-164.466268
NKP,Grant Group Airport,New Harold,Ireland,-3.037554,-119.533507
QUB,"Smith, Garcia and Griffith Airport",Wrightburgh,Faroe Islands,-24.437095,79.473885
ORU,"Douglas, Smith and Reyes Airport",Moorebury,Niger,12.504801,-153.201755
FDD,Hawkins-Becker Airport,Torresmouth,Central African Republic,-64.157452,61.952016
JKG,Ford LLC Airport,Josephfort,Costa Rica,-65.102742,-35.430760
UQD,Clay-Kim Airport,West Yesenia,Kazakhstan,-14.398272,10.680467
MWZ,Todd-Johnson Airport,North Peterton,Ukraine,84.356421,-93.040789
VUL,"Lee, Ewing and Jordan Airport",Sharitown,Luxembourg,-25.333644,46.231958
